date,cloud_coverage,processed
2022-04-01,27.35807614327551,True
2022-04-09,7.5747634602387865,True
2022-04-17,11.496911842006464,True
2022-05-11,53.905510813246224,False
2022-05-19,50.895073026958016,False
2022-05-27,21.025169895622142,True
2022-06-04,49.18832601186453,True
2022-06-20,53.47180765187354,False
2022-06-28,50.093512990913865,False
2022-07-14,38.15102406698205,True
2022-07-30,46.16010081099346,True
2022-08-15,12.908336149282873,True
2022-08-23,53.905018022077044,False
2022-09-16,10.094897499436806,True
2022-09-24,21.470019523916793,True
2022-10-02,26.2087932717579,True
2022-10-10,34.86366110985958,True
2022-10-26,41.051334760081104,True
2022-11-03,36.46058609296388,True
2022-11-11,45.83619621536382,True
2022-11-27,9.23169163475257,True
2022-12-05,45.43640177968011,True
2022-12-13,6.079564654201397,True
2023-01-06,53.731367800555674,False
